Restaurant	Price	Food	Service	Review
Brasserie Chavant Grenoble	No Opinion	Mixed	Negative	Trop trop long. Repas correct et pas exceptionnel Salle a l etage pas vraiement adapte por le service d un groupe tel que nous etions
Bistrot André - Grenoble	No Opinion	No Opinion	Mixed	Très bon, cette fois ci la climatisation était fonctionnelle et le service organisé. Il faudrait toutefois suggérer aux jeunes recrus d'expliquer et présenter le plat (un minimum pour chez André:on n'est pas chez Mac Do ...)
"""""""Terre Adélice - Lyon"""""""	No Opinion	Positive	Negative	"""""""Bonnes glaces mais glacier pas sympa. Mes petits enfants fatigués se sont assis pour manger leur boule de glace et on s’est fait virer, alors que la terrasse était vide."""""""
Le Marrakech - Annecy	Mixed	Positive	Positive	j'étais déjà allé seul dans ce restaurant que j'avais trouve bien. nous sommes retourner en couple et c'était toujours aussi bien. l'accueil et bien les couscous très bon et la décoration typique. Le patron est toujours aussi agréable. Un petit bémol, le prix des desserts qui me paraissent un peu cher. ce qui n'est pas le cas des couscous et tajines.
Les Jardins de Sainte-Cécile - Grenoble	No Opinion	Positive	No Opinion	Trois fois dans ce restaurant, trois fois où nous avons passé un superbe moment. Cuisine raffinée gastro et élégamment présentée. Les fromages proviennent de Beranrd Mure Ravaud (champion du monde et Meilleur Ouvrier de France)  Je recommande vivement!
Les Terrasses de Lyon - Lyon	No Opinion	Positive	Positive	Nous avons choisi le menu en 5 services. N'aimant pas l'agneau j'ai demandé à modifier et cela a été accepté. Un régal pour les papilles des amuses bouches au mignardises. Le personnel est professionnel et attentionné. Quel plaisir de contempler l'une des plus belles vues de Lyon. Nous recommandons cette adresse.
"""""""Terre Adélice - Lyon"""""""	Negative	Mixed	Negative	"""""""Les glaces sont très très chères, comptez 5€ pour une glace 2 boules! Pas de terrasse et service à la chaîne. Bref, les glaces vendues en grande surface ont le même goût et sont beaucoup moins chères"""""""
Le Gurtlerhoft - Strasbourg	No Opinion	Positive	Negative	Ambiance et cuisine sympathique, mais service non agréable voir offensant (on nous a prévenu de se dépêcher avant même avoir commandé car il y avait un second service alors que nous étions en avance sur la réservation, servi au lance pierre et mon fils s'est fait retiré l'assiette alors même qu'il mangeait encore.. très peu aimable en prime)
La Fondue - Grenoble	No Opinion	No Opinion	Negative	Après être arrivé au restaurant on a été conduit à un restaurant similaire (ne portant pas le même nom) bref rdv à 21h. On prend nos commandes, 1h après la serveuse vient nous confirmer la commande car elle n avait pas tout compris! A 23h15, après plus de 2h d attente et des demandes complètement ignoré nous sommes partis!!!!!! De plus la serveuse était mal gracieuse!!!! JE VOUS LE DÉCONSEILLE
L'Entrecôte	No Opinion	Positive	Positive	Bon restaurant dans le centre de Lyon. viande et frites très bonnes .la sauce mystérieuse est extra....plusieurs service de frites bien chaude....dessert très bien. un grand Merci à Johanna pour son accueil et son service.
Le Marrakech - Annecy	No Opinion	Positive	Positive	A chaque fois que nous allons manger dans ce restaurant mon mari et moi nous nous régalons ! Il fait parti des meilleurs restaurants de tajine et couscous des environs. On y mange bien, la qualité et la quantité sont présentes. Contrairement à certains commentaires, les produits ne sont pas surgelés, ayant visiter la cuisine, nous avons pu voir que les produits sont frais. De plus, nous sommes à chaque fois bien accueillis par le chef.
L'Entrecôte	No Opinion	Positive	Positive	Les frites sont inégalables et la viande fond Dans la bouche ! Le personnel est agréable et à l’écoute
Les 3 Brasseurs - Echirolles	No Opinion	Positive	Positive	J en ai mare car je ne trouve pas de critiques péjoratives! C est une valeur sûre. Toujours bon gustativement! Mais differance aux autres restaurants, le service est impeccable! J adore car j ai toujours l impression d être reçu comme quelqu un d important. C est très rare d avoir des serveuses ou serveurs qui nous reçoivent comme pratiquement chez eux. Ça m énerve car normalement je trouve toujours une critique négative mais la je suis piègé... Un remerciement exceptionnel à la serveuse Anita qui est nouvelle et emploie qui accentue à elle toute seule la réputation professionnelle de ce restaurant car elle dépasse son travail en servant les clients avec le coeur avec un sourire naturel ! C est très rare et ceux qui me lisent savent que je suis sans pitié aucunes. Mercier aux trous brasseurs Echirolles. Attention, je ne me porte pas garant pour les autres de la chaîne que je ne connais pas. J espère que la direction regarder mon message pour cette jeune serveuse qui mérite largement ça place. Critique négative: la prochaine fois, j aimerais au moins un café offert... ;-)
Les Terrasses Poulard - Le Mont-Saint-Michel	No Opinion	Negative	Mixed	Très longue attente mais personnel agréable et sympathique.  Velouté de légume et tarte aux pommes industriels probablement, frites dignes du mac do et omelette sans plus... Cuisine assez grasse
Les Terrasses Poulard - Le Mont-Saint-Michel	No Opinion	Positive	Negative	Très jolie vue sur la baie  Service très lent les 2 tables qui nous entouraient ont eu entrée plat dessert et addition et nous toujours l’entrée et fini depuis longtemps  Du coup après le plat qui était très bon nous sommes partis sans le dessert car 1h30 entre l’entrée et le plat ce n’est pas possible  Repas très bon surtout l’omelette
Les Terrasses Poulard - Le Mont-Saint-Michel	Negative	Negative	No Opinion	c'est le meme restaurant que les terrasses de la baie donc la meme arnaque aux touristes la meme cantine à des prix prohibitifs
La Fondue - Grenoble	No Opinion	Positive	Positive	Nous avons passé un très bon moment à la Fondue: dans la tranquilité de la 2eme salle nous avons apprécié le service très sympathique, et les plats de terroir super copieux et goûteux. Une très bonne adresse quand on recherche la bonne cuisine de nos régions. Je recommande chaudement.
La Ferme à Dédé - Grenoble	No Opinion	Positive	No Opinion	Un week-end à Grenoble ne pouvait pas se faire sans aller déguster un plat local, au menu gratin de ravioles aux morilles, un délice avec une crème spéculoos comme note sucrée pour le dessert. Je recommande 😁
Shunbun - Grenoble	No Opinion	Positive	No Opinion	Je suis allé dîner avec ma famille le vendredi 1er Octobre. Nous avons commandé deux des menus proposés et des sushis sur le menu, tout a été très bien préparé. Très bonne bière japonaise
Shunbun - Grenoble	Positive	Positive	Positive	Plusieurs formules sont proposées pour le midi avec deux accompagnement à choix et à prix très raisonnable. Les sushis étaient très bons. Il y a également un grand choix dans la carte. Le service était rapide et efficace. Superbe adresse si vous passez par Grenoble.
Le Bombay	No Opinion	Positive	Positive	Très bon accueil, accepté les chiens guide d’aveugle, se préoccupe du bien être des personnes! Poulet Tikka massala délicieux ! Très généreux en lassi (presque 1/2l de boisson)! Rien à dire c’était succulent!
Les 3 Brasseurs - Echirolles	No Opinion	Mixed	Mixed	La deco est très bien faite, bonne ambiance. Arrivez tôt sinon la fil d'attente est sans fin ! Bière maison de bonne qualité , les plats sont conformes à  ce type d'établissement, bon mais rien d'exceptionnel. Les enfants sont bien accueillis. Après, j'ai trouvé l'endroit très bruyant, le service un peu trop rapide... c'est un peu à  la chaîne. à‰viter ce type d'établissement pour un repas en amoureux.
La veyrie - Bernin	No Opinion	No Opinion	Positive	Un beau cadre , belle terrasse ,accueil sympathique on peut se relaxer et profiter sans se soucier de rien. Le service est prévenant , fluide, agreable avec le sourire derriere les masques.   Un menu restreint, produits frais , très bon steak tartare , poisson cuisiné avec quelques épices juste comme il faut. Du bon vin quoi de plus !   Une belle soirée,  à refaire  !
Le Gurtlerhoft - Strasbourg	No Opinion	Positive	Positive	Magnifique restaurant , cave voûtée avec juste ce qu'il faut en éclairage  Très bon accueil, personnel très agréable  Repas délicieux
